"Inclut les transactions Amazon Marketplace, Expédié par Amazon et Amazon Webstore"
"Tous les montants sont en EUR, sauf mention contraire."
"Définitions :"
"Frais de vente : Incluent des frais de clôture variable et des frais de référence."
"Autres frais de transaction : incluent les contestations de prélèvement, les retenues sur expédition"
"Autre : inclut les montants non-liés aux commandes. Pour de plus amples renseignements, consultez les colonnes ""Type"" et ""Description"" pour chaque commande."
"date/heure","numéro de versement","type","numéro de la commande","sku","description","quantité","Marketplace","traitement","ville d'où provient la commande","Région d'où provient la commande","code postal de la commande","ventes de produits","crédits d'expédition","crédits sur l'emballage cadeau","Rabais promotionnels","frais de vente","Frais Expédié par Amazon","autres frais de transaction","autre","total"
"2 mai 2016 08:43:43 UTC+00:00","6737233732","Commande","403-4302884-7200349","009B-FR-FBA","Amorus® Sac à dos de vélo étanche lampe témoin sécurité LED clignotant télécommande sans fil (gris)","1","amazon.fr","Amazon","SOTTEVILLE LES ROUEN","","76300","31,99","0","0","0","-4,80","-2,74","0","0","24,45"
"2 mai 2016 09:36:59 UTC+00:00","6737233732","Commande","171-7480285-3797918","146A-FR-FBA","Amours® Étui de transport protection portatif de stockage en voyage pour GoPro Hero4 /Hero4 Black/Hero 4 Silver/Hero/Hero3/Hero3+/Hero2 et Accessoires","1","amazon.fr","Amazon","BRUGES","","33520","9,99","0","0","0","-1,20","-2,74","0","0","6,05"
"2 mai 2016 10:31:13 UTC+00:00","6737233732","Commande","171-8166657-5167564","183A-FR-FBA","Amorus Rechargeable 61 touches Silicon flexible Roll Up MIDI Piano Design électronique pour les débutants et les enfants","1","amazon.fr","Amazon","ST PIERRE LA GARENNE","","27600","54,99","0","0","0","-6,60","-3,70","0","0","44,69"
"2 mai 2016 14:16:58 UTC+00:00","6737233732","Commande","404-0391849-3923525","342A-FR-FBA","Perche Monopode, Amorus® Perche de Selfie stick sans fil Bluetooth monopode pour iPhone 6/6 Plus, Samsung Galaxy S6 / S6 Bord / Note 4, Gopro Hero / H","1","amazon.fr","Amazon","Boulogne Billancourt","","92100","14,99","0","0","0","-1,80","-2,38","0","0","10,81"
"2 mai 2016 17:03:15 UTC+00:00","6737233732","Commande","404-8414849-4402716","342A-FR-FBA","Perche Monopode, Amorus® Perche de Selfie stick sans fil Bluetooth monopode pour iPhone 6/6 Plus, Samsung Galaxy S6 / S6 Bord / Note 4, Gopro Hero / H","1","amazon.fr","Amazon","Lyon","","69009","14,99","0","0","0","-1,80","-2,38","0","0","10,81"
"2 mai 2016 17:36:26 UTC+00:00","6737233732","Commande","404-3654686-5156360","MO2A-FR-FBA","Amorus® 5L Sac à dos de vélo étanche lampe témoin sécurité LED clignotant télécommande sans fil pour la nuit la sécurité à vélo (orange)","1","amazon.fr","Amazon","brives charensac","","43700","54,99","0","0","0","-8,25","-3,50","0","0","43,24"
"3 mai 2016 09:52:47 UTC+00:00","6737233732","Commande","403-8668108-3738760","Drum-FBM","batterie électronique avec pad de percussion, parfait pour les débutants et les enfants","1","amazon.fr","Vendeur","ROUEN","","76000","44,99","4,00","0","0","-5,88","0","0","0","43,11"
"3 mai 2016 13:25:37 UTC+00:00","6737233732","Remboursement","404-3173487-5978725","88keys-FR","Amorus® Piano numérique roulant 88 touches Silicon pour les débutants et les enfants","1","amazon.fr","Vendeur","Ste Marie","","35600","0","0","0","0","0","0","0","-32,10","-32,10"
"3 mai 2016 14:10:57 UTC+00:00","6737233732","Commande","402-2727028-4466747","392B-FR","Amorus® Haut-parleur portable en lévitation dans l'air Bluetooth avec Mic et NFC pour iPhone 6/6 Plus, mini iPad 3/2/1, iPad Air 2/1, Samsung Galaxy S","1","amazon.fr","Amazon","chateauneuf sur isere","","26300","99,99","0","0","0","-7,00","-3,83","0","0","89,16"
"3 mai 2016 16:12:27 UTC+00:00","6737233732","Commande","403-3975685-1389969","183A-FR-FBA","Amorus Rechargeable 61 touches Silicon flexible Roll Up MIDI Piano Design électronique pour les débutants et les enfants","1","amazon.fr","Amazon","TOULOUSE","","31400","54,99","0","0","0","-6,60","-3,70","0","0","44,69"
"4 mai 2016 13:26:11 UTC+00:00","6737233732","Remboursement","402-8326572-6445107","183A-FR-FBA","Amorus Rechargeable 61 touches Silicon flexible Roll Up MIDI Piano Design électronique pour les débutants et les enfants","1","amazon.fr","Amazon","SENCONAC","","09250","-54,99","0","0","0","5,28","0","0","0","-49,71"
"4 mai 2016 13:29:08 UTC+00:00","6737233732","Commande","S02-0829736-8173339","AC-ADAPTER","Bloc d'alimentation adaptateur secteur 12V 2A","1","si-prod-fr-marketplace.stores.amazon.fr","Amazon","chateauneuf sur isere","","26300","0","0","0","0","0","-1,80","0","0","-1,80"
"4 mai 2016 13:29:08 UTC+00:00","6737233732","Commande","S02-0829736-8173339","","Frais de transport FBA","","si-prod-fr-marketplace.stores.amazon.fr","Amazon","chateauneuf sur isere","","26300","0","0","0","0","0","0","0","-3,40","-3,40"
"4 mai 2016 17:04:11 UTC+00:00","6737233732","Commande","402-9947180-3415502","146A-FR-FBA","Amours® Étui de transport protection portatif de stockage en voyage pour GoPro Hero4 /Hero4 Black/Hero 4 Silver/Hero/Hero3/Hero3+/Hero2 et Accessoires","1","amazon.fr","Amazon","Villiers Le Morhier","","28230","9,99","0","0","0","-1,20","-2,74","0","0","6,05"
"4 mai 2016 18:47:13 UTC+00:00","6737233732","Commande","403-8273247-5157900","183A-FR-FBA","Amorus Rechargeable 61 touches Silicon flexible Roll Up MIDI Piano Design électronique pour les débutants et les enfants","1","amazon.fr","Amazon","lyon","","69008","54,99","0","0","0","-6,60","-3,70","0","0","44,69"
"6 mai 2016 09:41:47 UTC+00:00","6737233732","Commande","402-9489305-0176308","183A-FR-FBA","Amorus Rechargeable 61 touches Silicon flexible Roll Up MIDI Piano Design électronique pour les débutants et les enfants","1","amazon.fr","Amazon","Dijon","","21000","54,99","4,99","0","0","-6,60","-7,86","0","0","45,52"
"6 mai 2016 09:42:16 UTC+00:00","6737233732","Commande","171-2229327-8700302","392A-FR","Amorus® Haut-parleur portable en lévitation dans l'air Bluetooth avec Mic et NFC pour iPhone 6/6 Plus, mini iPad 3/2/1, iPad Air 2/1, Samsung Galaxy S","2","amazon.fr","Amazon","cap d ail","","06320","199,98","0","0","0","-14,00","-7,66","0","0","178,32"
"6 mai 2016 14:35:42 UTC+00:00","6737233732","Commande","404-5322966-2997153","88keys-FR-FBA","Amorus® Piano numérique roulant 88 touches Silicon pour les débutants et les enfants","1","amazon.fr","Amazon","MAUREPAS","","78310","94,99","0","0","0","-11,40","-3,83","0","0","79,76"
"6 mai 2016 17:03:57 UTC+00:00","6737233732","Commande","402-1592118-2744357","392B-FR","Amorus® Haut-parleur portable en lévitation dans l'air Bluetooth avec Mic et NFC pour iPhone 6/6 Plus, mini iPad 3/2/1, iPad Air 2/1, Samsung Galaxy S","1","amazon.fr","Amazon","chelles","ile de france","77500","99,99","0","0","0","-7,00","-3,83","0","0","89,16"
"7 mai 2016 04:01:20 UTC+00:00","6737233732","Frais de stock Expédié par Amazon","","","Frais de stockage Expédié par Amazon","","","","","","","0","0","0","0","0","0","0","-40,10","-40,10"
"7 mai 2016 15:53:54 UTC+00:00","6737233732","Commande","404-0014705-0830719","392B-FR","Amorus® Haut-parleur portable en lévitation dans l'air Bluetooth avec Mic et NFC pour iPhone 6/6 Plus, mini iPad 3/2/1, iPad Air 2/1, Samsung Galaxy S","1","amazon.fr","Amazon","ST LAURENT DU VAR","","06700","99,99","0","0","0","-7,00","-3,83","0","0","89,16"
"8 mai 2016 15:37:29 UTC+00:00","6737233732","Commande","S02-5810198-3326159","AC-ADAPTER","Bloc d'alimentation adaptateur secteur 12V 2A","1","si-prod-fr-marketplace.stores.amazon.fr","Amazon","chelles","ile de france","77500","0","0","0","0","0","-1,80","0","0","-1,80"
"8 mai 2016 15:37:29 UTC+00:00","6737233732","Commande","S02-5810198-3326159","","Frais de transport FBA","","si-prod-fr-marketplace.stores.amazon.fr","Amazon","chelles","ile de france","77500","0","0","0","0","0","0","0","-3,40","-3,40"
"9 mai 2016 04:39:10 UTC+00:00","6737233732","Commande","S02-8694332-7419737","AC-ADAPTER","Bloc d'alimentation adaptateur secteur 12V 2A","1","si-prod-fr-marketplace.stores.amazon.fr","Amazon","cap d ail","","06320","0","0","0","0","0","-1,80","0","0","-1,80"
"9 mai 2016 04:39:10 UTC+00:00","6737233732","Commande","S02-8694332-7419737","AC-ADAPTER","Bloc d'alimentation adaptateur secteur 12V 2A","1","si-prod-fr-marketplace.stores.amazon.fr","Amazon","cap d ail","","06320","0","0","0","0","0","-1,80","0","0","-1,80"
"9 mai 2016 04:39:10 UTC+00:00","6737233732","Commande","S02-8694332-7419737","","Frais de transport FBA","","si-prod-fr-marketplace.stores.amazon.fr","Amazon","cap d ail","","06320","0","0","0","0","0","0","0","-3,40","-3,40"
