"Einschließlich Transaktionen zu Amazon Marketplace, Versand durch Amazon und Amazon Webstore"
"Alle Beträge in Euro sofern nicht anders gekennzeichnet"
"Definitionen:"
"Verkaufsgebühren: Beinhaltet variable Abschlussgebühren und Werbekostenerstattungen."
"Andere Transaktionsgebühren: Einschließlich Ausgleichsbuchungen für Versand und Versandgebühren."
"Andere: Enthält Beträge zu Transaktionen, die nicht auf eine Bestellung bezogen sind. Weitere Details finden Sie zu jeder Bestellung in den Spalten ""Typ"" und ""Beschreibung""."
"Datum/Uhrzeit","Abrechnungsnummer","Typ","Bestellnummer","SKU","Beschreibung","Menge","Marketplace","Versand","Ort der Bestellung","Bundesland","Postleitzahl","Umsätze","Gutschrift für Versandkosten","Gutschrift für Geschenkverpackung","Rabatte aus Werbeaktionen","Verkaufsgebühren","Gebühren zu Versand durch Amazon","Andere Transaktionsgebühren","Andere","Gesamt"
"02.05.2016 06:25:34 GMT+00:00","6736617542","Bestellung","028-2449780-2743566","FBAdelight02","Amorus® 3W LED Schreibtischlampe LED Tischleuchte Design-Tischlampe mit Sensorschalter Nachttischlampe für Smartphones-Silber","2","amazon.de","Amazon","Köln","Nordrhein-Westfalen","50678","99,98","0","0","0","-15,00","-5,96","0","0","79,02"
"02.05.2016 07:40:30 GMT+00:00","6736617542","Bestellung","304-5931000-5097911","yogaball01","Amorus Gymnastikball inklusive Fußpumpe,65cm Sitzball Fitnessball Maximalbelastbarkeit bis 100kg, berstsicher","2","amazon.de","Amazon","WOLFEGG","","88364","41,98","0","0","0","-6,30","-5,96","0","0","29,72"
"02.05.2016 09:54:30 GMT+00:00","6736617542","Bestellung","028-5264628-9289121","FBAdelight02","Amorus® 3W LED Schreibtischlampe LED Tischleuchte Design-Tischlampe mit Sensorschalter Nachttischlampe für Smartphones-Silber","1","amazon.de","Amazon","Blowatz","Mecklenburg-Vorpommern","23974","49,99","3,00","0","0","-7,50","-5,50","0","0","39,99"
"02.05.2016 11:04:41 GMT+00:00","6736617542","Bestellung","305-8870372-5679517","FBAwandtattoo12","Amorus® Wandtattoo Wandaufkleber Wandsticker Wandbilder PVC Sun Sonnenschein Runder Spiegel Removable DIY Acryl 3D für Schlafzimmer Babyzimmer Wohnzim","1","amazon.de","Amazon","Freilassing","Bayern","83395","8,99","0","0","0","-1,08","-1,72","0","0","6,19"
"02.05.2016 11:19:56 GMT+00:00","6736617542","Bestellung","028-2124972-7127542","FBAdelight02","Amorus® 3W LED Schreibtischlampe LED Tischleuchte Design-Tischlampe mit Sensorschalter Nachttischlampe für Smartphones-Silber","1","amazon.de","Amazon","Rheinberg Orsoy","","47495","49,99","5,00","0","-5,00","-7,50","-2,98","0","0","39,51"
"02.05.2016 15:54:26 GMT+00:00","6736617542","Bestellung","305-5412196-6879542","FBAdelight02","Amorus® 3W LED Schreibtischlampe LED Tischleuchte Design-Tischlampe mit Sensorschalter Nachttischlampe für Smartphones-Silber","2","amazon.de","Amazon","Mering","Bayern","86415","99,98","0","0","0","-15,00","-5,96","0","0","79,02"
"02.05.2016 17:38:37 GMT+00:00","6736617542","Bestellung","305-4079633-6654756","FBAcaffeemachine04","Amorus® French Press Kaffeebereiter Caffettiera Edelstahl Espresso Kaffee 350ML","1","amazon.de","Amazon","Münster","Nordrhein-Westfalen","48153","24,97","0","0","0","-3,75","-2,41","0","0","18,81"
"02.05.2016 18:04:21 GMT+00:00","6736617542","Bestellung","305-7649196-4378722","FBAwandtattoo13","Amorus® Wandtattoo Wandaufkleber Wandsticker Wandbilder PVC Sun Sonnenschein Runder Spiegel Removable DIY Acryl 3D für Schlafzimmer Babyzimmer Wohnzim","1","amazon.de","Amazon","Burgdorf","Niedersachsen","31303","8,99","3,00","0","0","-1,08","-4,24","0","0","6,67"
"03.05.2016 00:30:29 GMT+00:00","6736617542","Anpassung","306-8754688-4821954","appadapter01","Versand durch Amazon Erstattung für Lagerbestand - Kundenrücksendung","1","","","","","","0","0","0","0","0","0","0","31,19","31,19"
"03.05.2016 09:48:22 GMT+00:00","6736617542","Bestellung","302-6002319-6193138","FBAdelight02","Amorus® 3W LED Schreibtischlampe LED Tischleuchte Design-Tischlampe mit Sensorschalter Nachttischlampe für Smartphones-Silber","1","amazon.de","Amazon","Ostelsheim","Bw","75395","49,99","0","0","0","-7,50","-2,98","0","0","39,51"
"03.05.2016 10:08:55 GMT+00:00","6736617542","Bestellung","303-4405106-5609136","FBAwandtattoo07","Amorus® 3D Stil Fenster Wandtattoo Wandaufkleber Wandsticker Wandbilder Santorini PVC für Schlafzimmer Wohnzimmer","1","amazon.de","Amazon","Hannover","Niedersachsen","30161","12,99","0","0","0","-1,95","-4,80","0","0","6,24"
"03.05.2016 17:40:35 GMT+00:00","6736617542","Bestellung","303-0248180-8691543","FBAcaffeemachine04","Amorus® French Press Kaffeebereiter Caffettiera Edelstahl Espresso Kaffee 350ML","1","amazon.de","Amazon","Münster","","48147","24,97","0","0","0","-3,75","-2,41","0","0","18,81"
"04.05.2016 14:06:01 GMT+00:00","6736617542","Erstattung","303-5515172-2898717","dewine01","Amorus® Elektrischer Weinöffner Korkenzieher mit Folienschneider Elektrische Wein Öffner durch Batterie angetrieben Schwarz","1","amazon.de","Verkäufer","Zielitz","Deutschland","39326","-26,99","0","0","0","3,24","0","0","0","-23,75"
"04.05.2016 18:06:31 GMT+00:00","6736617542","Bestellung","304-9619982-4260352","FBAcaffeemachine09","Amorus® Handkaffeemühle Manuelle Kaffeemühle Espressomühle Dunkelbraun","1","amazon.de","Amazon","Stadtallendorf","Hessen","35260","26,98","0","0","0","-4,05","-2,98","0","0","19,95"
"06.05.2016 03:51:41 GMT+00:00","6736617542","Erstattung","303-1994053-3588307","decycle05","Amorus® Erwachsene Fahrrad Helm Radhelm mit Bluetooth Blinker LED Support Freisprech-Aufruf / Intercom / SOS Alarm Gelb","1","amazon.de","Verkäufer","Reutlingen","Baden-Württemberg","72762","-89,99","0","0","0","10,80","0","0","0","-79,19"
"06.05.2016 03:51:41 GMT+00:00","6736617542","Erstattung","303-1994053-3588307","decycle01","Amorus® Erwachsene Fahrrad Helm Radhelm mit Bluetooth Blinker LED Support Freisprech-Aufruf / Intercom / SOS Alarm Schwarz","1","amazon.de","Verkäufer","Reutlingen","Baden-Württemberg","72762","-89,99","0","0","0","10,80","0","0","0","-79,19"
"06.05.2016 06:06:19 GMT+00:00","6736617542","Bestellung","302-8652692-5145169","FBAcaffeemachine04","Amorus® French Press Kaffeebereiter Caffettiera Edelstahl Espresso Kaffee 350ML","1","amazon.de","Amazon","Amberg","Bayern","92224","24,97","0","0","0","-3,75","-2,41","0","0","18,81"
"06.05.2016 08:47:19 GMT+00:00","6736617542","Bestellung","303-3880511-8793152","FBAdelight02","Amorus® 3W LED Schreibtischlampe LED Tischleuchte Design-Tischlampe mit Sensorschalter Nachttischlampe für Smartphones-Silber","1","amazon.de","Amazon","Wülfrath","Nordrhein-Westfalen","42489","49,99","0","0","0","-7,50","-2,98","0","0","39,51"
"06.05.2016 10:57:22 GMT+00:00","6736617542","Bestellung","306-1969204-7575569","FBAcaffeemachine04","Amorus® French Press Kaffeebereiter Caffettiera Edelstahl Espresso Kaffee 350ML","1","amazon.de","Amazon","Magdeburg","Sachsen-Anhalt","39108","24,97","3,00","0","0","-3,75","-4,93","0","0","19,29"
"06.05.2016 11:19:15 GMT+00:00","6736617542","Bestellung","305-1667721-6861942","FBAdelight02","Amorus® 3W LED Schreibtischlampe LED Tischleuchte Design-Tischlampe mit Sensorschalter Nachttischlampe für Smartphones-Silber","1","amazon.de","Amazon","Bad Urach","Baden-Württemberg","72574","49,99","0","0","0","-7,50","-2,98","0","0","39,51"
"06.05.2016 15:34:43 GMT+00:00","6736617542","Versand durch Amazon Lagergebühr","","","Versand durch Amazon Gebühr für Entsorgung","","","","","","","0","0","0","0","0","0","0","-0,10","-0,10"
"07.05.2016 04:01:20 GMT+00:00","6736617542","Versand durch Amazon Lagergebühr","","","Versand durch Amazon Lagergebühr","","","","","","","0","0","0","0","0","0","0","-27,22","-27,22"
"07.05.2016 08:42:37 GMT+00:00","6736617542","Bestellung","306-8448203-4104320","FBAcaffeemachine04","Amorus® French Press Kaffeebereiter Caffettiera Edelstahl Espresso Kaffee 350ML","1","amazon.de","Amazon","Berlin","Berlin","10627","24,97","0","0","0","-3,75","-2,41","0","0","18,81"
"08.05.2016 19:59:03 GMT+00:00","6736617542","Bestellung","306-4149619-5015507","Shower Shelves","Amorus® Edelstahl Vacuum-Loc Wandablage für Bad oder Küche Alarmfunktion - 31,5 x 13,5 x 26,5cm","1","amazon.de","Amazon","Bad Füssing","Bayern","94072","35,99","0","0","0","-5,40","-4,23","0","0","26,36"
"09.05.2016 07:10:11 GMT+00:00","6736617542","Bestellung","304-8904182-1382730","FBAcaffeemachine04","Amorus® French Press Kaffeebereiter Caffettiera Edelstahl Espresso Kaffee 350ML","1","amazon.de","Amazon","Rhauderfehn","Niedersachsen","26817","24,97","0","0","0","-3,75","-2,41","0","0","18,81"
"09.05.2016 09:08:51 GMT+00:00","6736617542","Bestellung","305-5655581-5541953","FBAdelight02","Amorus® 3W LED Schreibtischlampe LED Tischleuchte Design-Tischlampe mit Sensorschalter Nachttischlampe für Smartphones-Silber","1","amazon.de","Amazon","Erlangen","","91054","49,99","0","0","0","-7,50","-2,98","0","0","39,51"
"09.05.2016 09:12:06 GMT+00:00","6736617542","Bestellung","305-6151108-7036352","FBAdelight02","Amorus® 3W LED Schreibtischlampe LED Tischleuchte Design-Tischlampe mit Sensorschalter Nachttischlampe für Smartphones-Silber","1","amazon.de","Amazon","Aachen","","52072","49,99","0","0","0","-7,50","-2,98","0","0","39,51"
"09.05.2016 09:29:28 GMT+00:00","6736617542","Bestellung","028-2658942-5910769","FBAwandtattoo04","Amorus® DIY Eiffelturm Paris Brief Wandtattoo Wandaufkleber Wandsticker Wandbilder PVC für Schlafzimmer Wohnzimmer","1","amazon.de","Amazon","Berlin","","13627","12,99","0","0","0","-1,95","-2,32","0","0","8,72"
"09.05.2016 10:03:03 GMT+00:00","6736617542","Bestellung","304-1583120-8133112","MI4Ih¨¹lle01","Amorus 10 x TPU Bumper Schutzhülle Case Cover für Xiaomi Mi 4i Klar Transparent (Xiaomi Mi 4i)","1","amazon.de","Amazon","Kefferhausen","","37351","7,99","0","0","0","-0,96","-2,14","0","0","4,89"
"09.05.2016 12:35:59 GMT+00:00","6744337932","Übertrag","","","An Konto mit der Endung:  7177","","","","","","","0","0","0","0","0","0","0","-814,24","-814,24"
"09.05.2016 13:37:35 GMT+00:00","6744337932","Bestellung","303-9466521-1613945","FBAwandtattoo07","Amorus® 3D Stil Fenster Wandtattoo Wandaufkleber Wandsticker Wandbilder Santorini PVC für Schlafzimmer Wohnzimmer","1","amazon.de","Amazon","Mettmann","","40822","12,99","3,00","0","0","-1,95","-7,32","0","0","6,72"
"09.05.2016 19:23:44 GMT+00:00","6744337932","Bestellung","303-7669678-3720345","FBAdelight02","Amorus® 3W LED Schreibtischlampe LED Tischleuchte Design-Tischlampe mit Sensorschalter Nachttischlampe für Smartphones-Silber","1","amazon.de","Amazon","Dresden","Sachsen","01309","49,99","0","0","0","-7,50","-2,98","0","0","39,51"
"10.05.2016 09:01:11 GMT+00:00","6744337932","Bestellung","302-0036899-1638739","FBAdelight01","Amorus® 3W LED Schreibtischlampe LED Tischleuchte Design-Tischlampe mit Sensorschalter Nachttischlampe für Smartphones-Schwarz","1","amazon.de","Amazon","Hannover","","30453","49,99","0","0","0","-7,50","-2,98","0","0","39,51"
"10.05.2016 10:50:46 GMT+00:00","6744337932","Bestellung","303-3028695-7361929","FBAcaffeemachine01","Amorus Edelstahl Handkaffeemühle Manuelle Kaffeemühle Espressomühle mit Keramikmahlwerk","1","amazon.de","Amazon","Neu-Isenburg","Hessen","63263","18,99","0","0","0","-2,85","-2,41","0","0","13,73"
"11.05.2016 08:08:33 GMT+00:00","6744337932","Bestellung","302-9151322-1221155","FBAwandtattoo07","Amorus® 3D Stil Fenster Wandtattoo Wandaufkleber Wandsticker Wandbilder Santorini PVC für Schlafzimmer Wohnzimmer","1","amazon.de","Amazon","Köln","Nordrhein-Westfalen","50823","12,99","3,00","0","0","-1,95","-7,32","0","0","6,72"
"11.05.2016 08:49:11 GMT+00:00","6744337932","Bestellung","028-0861125-5501166","FBAdelight02","Amorus® 3W LED Schreibtischlampe LED Tischleuchte Design-Tischlampe mit Sensorschalter Nachttischlampe für Smartphones-Silber","1","amazon.de","Amazon","Hassfurt","","97437","49,99","0","0","0","-7,50","-2,98","0","0","39,51"
"11.05.2016 18:47:50 GMT+00:00","6744337932","Bestellung","302-8761121-8857911","6klar01","Amorus iPhone 6/6s Hülle,10 x TPU Bumper Schutzhülle Case für iPhone 6/6s 4,7 zoll Klar Transparent Tasche Case Cover","1","amazon.de","Amazon","Niederkassel","Nordrhein-Westfalen","53859","8,99","0","0","0","-1,08","-2,14","0","0","5,77"
"11.05.2016 18:47:50 GMT+00:00","6744337932","Bestellung","302-8761121-8857911","S6h¨¹lle01","Amorus 10 x TPU Bumper Schutzhülle Case Cover für Samsung Galaxy S6 edge Plus G928 Klar Transparent (Samsung S6 edge plus)","1","amazon.de","Amazon","Niederkassel","Nordrhein-Westfalen","53859","7,99","0","0","0","-0,96","-2,41","0","0","4,62"
"11.05.2016 18:47:50 GMT+00:00","6744337932","Bestellung","302-8761121-8857911","iPhone5h¨¹lle01","Amorus 10 x TPU Bumper Schutzhülle Case Cover für Apple iPhone 5/5s Klar Transparent (iPhone 5/5s)","1","amazon.de","Amazon","Niederkassel","Nordrhein-Westfalen","53859","7,99","0","0","0","-0,96","-2,14","0","0","4,89"
"12.05.2016 06:38:56 GMT+00:00","6744337932","Bestellung","306-4650033-1254739","FBAdelight02","Amorus® 3W LED Schreibtischlampe LED Tischleuchte Design-Tischlampe mit Sensorschalter Nachttischlampe für Smartphones-Silber","1","amazon.de","Amazon","Forchheim","Bayern","91301","49,99","0","0","0","-7,50","-2,98","0","0","39,51"
"12.05.2016 10:35:43 GMT+00:00","6744337932","Bestellung","304-4654790-0259545","FBAdelight03","Amorus® 3W LED Schreibtischlampe LED Tischleuchte Design-Tischlampe mit Sensorschalter Nachttischlampe für Smartphones-Gold","1","amazon.de","Amazon","Dortmund","Nordrhein-Westfalen","44149","49,99","0","0","0","-7,50","-2,98","0","0","39,51"
"12.05.2016 10:46:42 GMT+00:00","6744337932","Bestellung","302-1187707-9700356","FBAcaffeemachine09","Amorus® Handkaffeemühle Manuelle Kaffeemühle Espressomühle Dunkelbraun","1","amazon.de","Amazon","Berlin","Berlin","13583","26,98","0","0","0","-4,05","-2,98","0","0","19,95"
"12.05.2016 14:17:47 GMT+00:00","6744337932","Bestellung","028-4845346-8483500","FBAdelight01","Amorus® 3W LED Schreibtischlampe LED Tischleuchte Design-Tischlampe mit Sensorschalter Nachttischlampe für Smartphones-Schwarz","1","amazon.de","Amazon","Helmstedt","","38350","49,99","0","0","0","-7,50","-2,98","0","0","39,51"
"12.05.2016 20:48:29 GMT+00:00","6744337932","Bestellung","302-2724252-0333928","FBAcaffeemachine08","Amorus® Handkaffeemühle Manuelle Kaffeemühle Espressomühle Braun","1","amazon.de","Amazon","Leipzig","Sachsen","04205","25,98","0","0","0","-3,90","-2,98","0","0","19,10"
"13.05.2016 06:32:06 GMT+00:00","6744337932","Bestellung","028-1184052-3987526","FBAwandtattoo13","Amorus® Wandtattoo Wandaufkleber Wandsticker Wandbilder PVC Sun Sonnenschein Runder Spiegel Removable DIY Acryl 3D für Schlafzimmer Babyzimmer Wohnzim","1","amazon.de","Amazon","Dürmentingen","Baden-Württemberg","88525","8,99","0","0","0","-1,08","-1,72","0","0","6,19"
"14.05.2016 08:09:37 GMT+00:00","6744337932","Bestellung","028-2379559-4229121","FBAcaffeemachine04","Amorus® French Press Kaffeebereiter Caffettiera Edelstahl Espresso Kaffee 350ML","1","amazon.de","Amazon","Dorfen","Bayern","84405","24,97","3,00","0","0","-3,75","-4,93","0","0","19,29"
"14.05.2016 11:18:49 GMT+00:00","6744337932","Anpassung","","FBAcaffeemachine04","Versand durch Amazon Erstattung für Lagerbestand - Im Lager beschädigt","1","","","","","","0","0","0","0","0","0","0","18,81","18,81"
"14.05.2016 12:50:40 GMT+00:00","6744337932","Bestellung","303-8408916-8793937","FBAdelight02","Amorus® 3W LED Schreibtischlampe LED Tischleuchte Design-Tischlampe mit Sensorschalter Nachttischlampe für Smartphones-Silber","1","amazon.de","Amazon","Hürth","Nordrhein-Westfalen","50354","49,99","0","0","0","-7,50","-2,98","0","0","39,51"
"14.05.2016 15:53:34 GMT+00:00","6744337932","Bestellung","306-3276900-1068336","FBAdelight01","Amorus® 3W LED Schreibtischlampe LED Tischleuchte Design-Tischlampe mit Sensorschalter Nachttischlampe für Smartphones-Schwarz","1","amazon.de","Amazon","Piding","Bayern","83451","49,99","0","0","0","-7,50","-2,98","0","0","39,51"
"17.05.2016 06:38:55 GMT+00:00","6744337932","Bestellung","305-4530320-2834716","FBAcaffeemachine08","Amorus® Handkaffeemühle Manuelle Kaffeemühle Espressomühle Braun","1","amazon.de","Amazon","Oranienburg","Brandenburg","16515","25,98","3,00","0","0","-3,90","-5,50","0","0","19,58"
"17.05.2016 09:55:10 GMT+00:00","6744337932","Bestellung","306-3698185-3424342","FBAdelight02","Amorus® 3W LED Schreibtischlampe LED Tischleuchte Design-Tischlampe mit Sensorschalter Nachttischlampe für Smartphones-Silber","1","amazon.de","Amazon","Norderstedt","Schleswig-Holstein","22848","49,99","0","0","0","-7,50","-2,98","0","0","39,51"
"17.05.2016 09:56:55 GMT+00:00","6744337932","Bestellung","302-9100148-2861915","MI4Ih¨¹lle01","Amorus 10 x TPU Bumper Schutzhülle Case Cover für Xiaomi Mi 4i Klar Transparent (Xiaomi Mi 4i)","1","amazon.de","Amazon","Wetter (Ruhr)","Nordrhein-Westfalen","58300","7,99","0","0","0","-0,96","-2,14","0","0","4,89"
"17.05.2016 11:12:40 GMT+00:00","6744337932","Bestellung","304-5851233-8019558","FBAwandtattoo04","Amorus® DIY Eiffelturm Paris Brief Wandtattoo Wandaufkleber Wandsticker Wandbilder PVC für Schlafzimmer Wohnzimmer","1","amazon.de","Amazon","Lübben","","15907","9,99","0","0","0","-1,50","-2,32","0","0","6,17"
"17.05.2016 11:59:06 GMT+00:00","6744337932","Bestellung","302-3504439-4672328","FBAcaffeemachine04","Amorus® French Press Kaffeebereiter Caffettiera Edelstahl Espresso Kaffee 350ML","1","amazon.de","Amazon","Limbach-Oberfrohna","","09212","19,99","0","0","0","-3,00","-2,41","0","0","14,58"
"17.05.2016 14:19:36 GMT+00:00","6744337932","Bestellung","302-2430068-4266742","Lichterkette01","Amorus 5m 50er LED Kleine Farbwechsel Kugel Lichterkette für Weihnachten Partei Hochzeit","1","amazon.de","Amazon","Köln","Nordrhein-Westfalen","51109","6,99","0","0","0","-1,05","-2,41","0","0","3,53"
"17.05.2016 21:15:14 GMT+00:00","6744337932","Bestellung","306-7861980-7796341","FBAwandtattoo09","Amorus® 3D Stil Fenster Wandtattoo Wandaufkleber Wandsticker Wandbilder Lavendel PVC für Schlafzimmer Wohnzimmer","1","amazon.de","Amazon","Mülheim an der Ruhr","Nordrhein-Westfalen","45479","9,99","3,00","0","0","-1,50","-7,32","0","0","4,17"
"18.05.2016 08:58:48 GMT+00:00","6744337932","Bestellung","305-7627126-5714701","FBAcaffeemachine01","Amorus Edelstahl Handkaffeemühle Manuelle Kaffeemühle Espressomühle mit Keramikmahlwerk","1","amazon.de","Amazon","Heubach","","73540","14,99","3,00","0","0","-2,25","-4,93","0","0","10,81"
"18.05.2016 18:10:14 GMT+00:00","6744337932","Bestellung","304-5733540-4869946","FBAdelight02","Amorus® 3W LED Schreibtischlampe LED Tischleuchte Design-Tischlampe mit Sensorschalter Nachttischlampe für Smartphones-Silber","1","amazon.de","Amazon","ROSSAU","","09661","39,99","0","0","0","-6,00","-2,98","0","0","31,01"
"19.05.2016 06:09:38 GMT+00:00","6744337932","Bestellung","302-3851841-2389945","FBAdelight03","Amorus® 3W LED Schreibtischlampe LED Tischleuchte Design-Tischlampe mit Sensorschalter Nachttischlampe für Smartphones-Gold","1","amazon.de","Amazon","Bad Vilbel","Hessen","61118","49,99","0","0","0","-7,50","-2,98","0","0","39,51"
"19.05.2016 06:42:59 GMT+00:00","6744337932","Bestellung","304-3242726-6435516","FBAdelight02","Amorus® 3W LED Schreibtischlampe LED Tischleuchte Design-Tischlampe mit Sensorschalter Nachttischlampe für Smartphones-Silber","1","amazon.de","Amazon","Ettlingen","","76275","44,99","0","0","0","-6,75","-2,98","0","0","35,26"
"19.05.2016 08:55:16 GMT+00:00","6744337932","Bestellung","304-5601377-8347519","FBAdelight02","Amorus® 3W LED Schreibtischlampe LED Tischleuchte Design-Tischlampe mit Sensorschalter Nachttischlampe für Smartphones-Silber","1","amazon.de","Amazon","Landsberg am Lech","Bayern","86899","44,99","0","0","0","-6,75","-2,98","0","0","35,26"
"19.05.2016 09:16:04 GMT+00:00","6744337932","Bestellung","028-7513541-5655518","Gymnastikmatten01","Amorus Yogamatte Pilatesmatte Gymnastikmatten Basic 7mm Thick TPE 183 x 61cm Rose","1","amazon.de","Amazon","Ochtrup","Nordrhein-Westfalen","48607","14,99","0","0","0","-2,25","-4,92","0","0","7,82"
"19.05.2016 15:55:51 GMT+00:00","6744337932","Bestellung","306-4519958-5661911","Gymnastikmatten01","Amorus Yogamatte Pilatesmatte Gymnastikmatten Basic 7mm Thick TPE 183 x 61cm Rose","1","amazon.de","Amazon","Artlenburg","Niedersachsen","21380","14,99","0","0","0","-2,25","-4,92","0","0","7,82"
"19.05.2016 16:08:36 GMT+00:00","6744337932","Bestellung","306-4139871-2213137","FBAcaffeemachine04","Amorus® French Press Kaffeebereiter Caffettiera Edelstahl Espresso Kaffee 350ML","1","amazon.de","Amazon","Kempten (Allgäu)","Bayern","87439","19,99","3,00","0","0","-3,00","-4,93","0","0","15,06"
"19.05.2016 19:13:43 GMT+00:00","6744337932","Bestellung","306-4845369-4057153","FBAdelight03","Amorus® 3W LED Schreibtischlampe LED Tischleuchte Design-Tischlampe mit Sensorschalter Nachttischlampe für Smartphones-Gold","1","amazon.de","Amazon","Frankfurt (Oder)","Brandenburg","15230","44,99","0","0","0","-6,75","-2,98","0","0","35,26"
"19.05.2016 19:54:44 GMT+00:00","6744337932","Bestellung","028-1659134-2393167","Shower Shelves","Amorus® Edelstahl Vacuum-Loc Wandablage für Bad oder Küche Alarmfunktion - 31,5 x 13,5 x 26,5cm","1","amazon.de","Amazon","Köln","Nordrhein-Westfalen","50823","29,99","0","0","0","-4,50","-4,23","0","0","21,26"
"19.05.2016 20:42:38 GMT+00:00","6744337932","Bestellung","302-7544583-5021133","Lichterkette01","Amorus 5m 50er LED Kleine Farbwechsel Kugel Lichterkette für Weihnachten Partei Hochzeit","1","amazon.de","Amazon","ZWENKAU","","04442","6,99","0","0","0","-1,05","-2,41","0","0","3,53"
"19.05.2016 21:11:50 GMT+00:00","6744337932","Bestellung","302-6458443-0850740","FBAcaffeemachine04","Amorus® French Press Kaffeebereiter Caffettiera Edelstahl Espresso Kaffee 350ML","1","amazon.de","Amazon","Trier","Rheinland-Pfalz","54294","19,99","3,00","0","0","-3,00","-4,93","0","0","15,06"
"20.05.2016 00:24:47 GMT+00:00","6744337932","Erstattung","305-5655581-5541953","FBAdelight02","Amorus® 3W LED Schreibtischlampe LED Tischleuchte Design-Tischlampe mit Sensorschalter Nachttischlampe für Smartphones-Silber","1","amazon.de","Amazon","Erlangen","","91054","-49,99","0","0","0","6,00","0","0","0","-43,99"
"20.05.2016 06:57:56 GMT+00:00","6744337932","Bestellung","306-6613187-1582733","FBAdelight02","Amorus® 3W LED Schreibtischlampe LED Tischleuchte Design-Tischlampe mit Sensorschalter Nachttischlampe für Smartphones-Silber","1","amazon.de","Amazon","Blowatz","Mecklenburg-Vorpommern","23974","44,99","0","0","0","-6,75","-2,98","0","0","35,26"
